unique_id,s3_bucket,s3_key,s3_version
d1bea38b-129a-4a79-b490-77579273a924,project1-08-singap-s3,pictures/5437bc4a-224b-4ab0-b153-6073df34b411.jpg,
eb792549-d4bd-4a60-90d8-eda9ed84a705,project1-08-singap-s3,pictures/64220b2a-6099-4ff1-b863-83511736ab63.jpg,
e951241e-2051-44a6-ac3e-c28c41901af2,project1-08-singap-s3,pictures/19373596-348a-49a6-86ec-41231e023a45.jpg,
f4e07156-cfc2-41f9-9d5a-e89bdd024e38,project1-08-singap-s3,pictures/766cba48-0720-495f-b878-74f6365dc1a6.jpg,
503d09a8-398e-4d9a-baeb-09ea1f70ad8c,project1-08-singap-s3,pictures/83400212-7d9e-4527-95bb-b55b6e46e716.jpg,
a2c38bd5-237c-4857-83a9-daf6d0ddfd0d,project1-08-singap-s3,pictures/f92ca868-df62-4a45-9646-df1de5c4c9f6.jpg,
cbe51a54-dc84-4c45-8c05-40544dd7b05b,project1-08-singap-s3,pictures/af45460e-9888-4954-a294-24f44e753bc9.jpg,
5ff744d4-156a-4c7e-abe2-6394a59126a6,project1-08-singap-s3,pictures/e788e095-d7a8-4521-beb7-ee95d4467a25.heic,
cd519d49-d9bd-4fbf-8c9b-73d7593df7bc,project1-08-singap-s3,pictures/1bf03984-39dc-4815-8c3e-39e1b177b27d.jpg,
4070e301-ec6d-4eb7-98b8-483520ad2a8d,project1-08-singap-s3,pictures/4253bbdd-534b-49bc-9954-3dc8bda072ce.jpg,
e5993698-45ad-4451-8817-5fc577c47082,project1-08-singap-s3,pictures/4579cd3d-551a-44eb-b5c0-ef2dd7e6025f.jpg,
e6af3454-8cc5-4d1c-883d-fad275b6d989,project1-08-singap-s3,pictures/6f1384c3-eefb-4e87-8c0d-fc0631318f95.jpg,
ef920b27-7db7-48e3-8c8a-e3ce0c46cebe,project1-08-singap-s3,pictures/e90d4cfa-a0d1-461f-bba9-d873270b8ee0.heic,
cb0ed0c4-0197-4186-ac28-4fe3b6b775f6,project1-08-singap-s3,pictures/5e18c196-4822-4059-9e4f-98791d5902f4.jpg,
ba261029-089c-4832-b374-8458c31c344c,project1-08-singap-s3,pictures/f4e4488d-434e-4b68-a360-e08349a4048c.heic,
b8d5b1d3-331e-4c0b-9fa5-1e0978389b6d,project1-08-singap-s3,pictures/7c343bd9-563a-4587-b792-6fc2c139f7e3.jpg,
12da1525-fb48-484b-971f-e0da3191c474,project1-08-singap-s3,pictures/8b9c7aec-d2f8-465c-8c0b-14b8bc5a9074.jpg,
bf170f88-d480-47d8-b9c3-494bfd1b4d00,project1-08-singap-s3,pictures/27d293ab-1692-46dd-a6c0-043a7f7fe3fa.jpg,
3b655629-09d1-40c2-9ecf-d0aed1e61f3d,project1-08-singap-s3,pictures/7f91a0f6-5a6e-413d-b91f-773256acabdc.jpg,
9ebab84e-8b0b-465a-933d-67d4aa5f1dd9,project1-08-singap-s3,pictures/459bdfad-b0e8-4d27-aa65-550f345828f6.jpg,
0f810a2e-8fca-425a-bc35-af4ae616a26d,project1-08-singap-s3,pictures/ef5446a1-72b3-47b2-9975-652fbbb68c47.jpg,
249f8e20-9117-4622-b12b-af5bf1d22e84,project1-08-singap-s3,pictures/7b4865a1-d6aa-4bf5-bf34-c580c3cb3f8c.jpg,
d40d74c7-c957-44e4-b7c6-367233277b64,project1-08-singap-s3,pictures/c8ef40c1-12ed-4fc4-947f-b1e0ef1cb33f.jpg,
462fcf9e-97bb-4588-b6f5-ff2abe9d4bc4,project1-08-singap-s3,pictures/b38c1d24-d761-40a6-968e-275fe8e24f9b.jpg,
770a551b-e159-4f52-8307-27ffc27eadcf,project1-08-singap-s3,pictures/c41acc2a-22df-4b8d-9577-d2b54a401014.jpg,
4d20707f-abe5-4d8e-b1b3-4b45e8010a07,project1-08-singap-s3,pictures/9b7ed118-6974-4f9b-acdb-1c9232369df1.heic,
1c8a0e40-feae-4e03-aac0-0913fb3a959b,project1-08-singap-s3,pictures/c1ce7636-48fe-482d-89d0-f83fc5b7e25a.jpg,
e9e8cff5-6d06-498c-a97b-99fa2a1f5833,project1-08-singap-s3,pictures/2fe25c02-1f47-4335-9993-64348be0bc50.jpg,
0f903ce3-080a-4348-ba7c-c507380b560c,project1-08-singap-s3,pictures/b698e41d-8b25-42ed-91d4-ccae46c2170f.heic,
8d2eda42-024e-46bb-84cb-5b214940e898,project1-08-singap-s3,pictures/e042d9b1-e1ba-4a0f-880a-1d0ef424604d.jpg,
b0b7d4e2-c6fe-4b66-95be-c57530d7ce21,project1-08-singap-s3,pictures/f0029095-a266-4534-ac34-f56525fbbcf1.jpg,
d3b13f23-2abf-449a-8312-34f9578677c9,project1-08-singap-s3,pictures/91bf60b1-71e2-4626-8d6c-52d145c12a38.jpg,
8bfb5d74-19ba-4bce-a067-1e0b3952fa6b,project1-08-singap-s3,pictures/c5dc4c0e-85f8-4c9c-aa76-c62e581baca4.jpg,
425b7e02-9a59-4cb0-835f-cc6e30931b03,project1-08-singap-s3,pictures/ce55d005-e552-4654-916e-4f1f0df483b2.jpg,
b3edef89-9761-49b9-9852-b16bb97c2eb4,project1-08-singap-s3,pictures/ca395faa-b9df-4769-ac0a-eea071de9346.jpg,
fe0fd70e-f4c7-4542-b8e4-9ee9907429e5,project1-08-singap-s3,pictures/116ebf86-cc91-489d-80a0-363cfab04cac.jpg,
db596192-6a2e-452b-9aec-b1580661da47,project1-08-singap-s3,pictures/d391e317-a8be-4742-b002-c997ce5c296d.jpg,
ed7d00d2-8a27-40d1-8403-503a45e67722,project1-08-singap-s3,pictures/d1642fb6-e797-477b-9b93-85aa7c695fe2.jpg,
f641f135-8a71-46ba-95f2-aa0b3d4b77f7,project1-08-singap-s3,pictures/30f13b05-8789-4cc0-89b7-4f0aa8cf048e.jpg,
b7739603-13f8-4861-ba87-730adafcd849,project1-08-singap-s3,pictures/8105f8f6-5050-4861-b22a-26da6b331241.jpg,
c131ace6-e150-4c67-9d22-98acec5cd8ec,project1-08-singap-s3,pictures/f3eb3140-a69f-48bb-a4ef-af148daaf687.jpg,
f75e830c-f358-4ff2-be0f-0bd1d6f9ebbf,project1-08-singap-s3,pictures/ed358606-fccc-4ef7-99ba-e1cf67219b5c.jpg,
381eb84b-d20f-4eaf-abb7-d794e7199e06,project1-08-singap-s3,pictures/faa66534-7fb8-44a4-8728-9cc948cad029.jpg,
71bb21c0-26c9-4d76-b9c6-e67ac867d315,project1-08-singap-s3,pictures/8606984d-9248-4327-a1fd-03437b66633b.jpg,
e89730f3-08ea-4cea-b16f-c3caa21604ff,project1-08-singap-s3,pictures/cf1a5136-18e2-4bed-8c8f-3e49c81493ef.jpg,
f2248d0e-6741-4f59-a080-6fc59479c600,project1-08-singap-s3,pictures/443e1961-4010-45ad-aacb-9a6724c4747e.jpg,
0dfe818d-6589-4df7-bb6c-1c57cf83ea7f,project1-08-singap-s3,pictures/dfe7acf6-6629-4e57-a45f-965f67b5c755.jpg,
