unique_id,tag
08de88b6-3c82-4baf-9e4d-aaa54290dccd,노점
8f70ecf0-9ec5-47cf-a95f-7b480bb71167,분식
8f70ecf0-9ec5-47cf-a95f-7b480bb71167,빵
8f70ecf0-9ec5-47cf-a95f-7b480bb71167,노점
a139c0e4-1449-450c-8c3b-b6cbfdecb4ce,분식
a139c0e4-1449-450c-8c3b-b6cbfdecb4ce,빵
a139c0e4-1449-450c-8c3b-b6cbfdecb4ce,노점
a139c0e4-1449-450c-8c3b-b6cbfdecb4ce,시장
54fe063b-a854-402b-8254-da4b830f68d2,노점
54fe063b-a854-402b-8254-da4b830f68d2,분식
54fe063b-a854-402b-8254-da4b830f68d2,도너츠
54fe063b-a854-402b-8254-da4b830f68d2,핫도그
54fe063b-a854-402b-8254-da4b830f68d2,빵
54fe063b-a854-402b-8254-da4b830f68d2,시장
0363817b-da1e-4806-9dde-4df6b58f0d14,노점
0363817b-da1e-4806-9dde-4df6b58f0d14,분식
0363817b-da1e-4806-9dde-4df6b58f0d14,튀김
0363817b-da1e-4806-9dde-4df6b58f0d14,도너츠
0363817b-da1e-4806-9dde-4df6b58f0d14,핫도그
0363817b-da1e-4806-9dde-4df6b58f0d14,빵
0363817b-da1e-4806-9dde-4df6b58f0d14,시장
69500ee9-97c8-4cdb-8f67-55c42513f027,노점
69500ee9-97c8-4cdb-8f67-55c42513f027,분식
69500ee9-97c8-4cdb-8f67-55c42513f027,튀김
69500ee9-97c8-4cdb-8f67-55c42513f027,어묵
69500ee9-97c8-4cdb-8f67-55c42513f027,핫도그
69500ee9-97c8-4cdb-8f67-55c42513f027,주방도구
69500ee9-97c8-4cdb-8f67-55c42513f027,붕어빵
69500ee9-97c8-4cdb-8f67-55c42513f027,빵
69500ee9-97c8-4cdb-8f67-55c42513f027,시장
f68591fb-4964-4271-a55b-8040c17c1095,노점
f68591fb-4964-4271-a55b-8040c17c1095,주방도구
f68591fb-4964-4271-a55b-8040c17c1095,붕어빵
f68591fb-4964-4271-a55b-8040c17c1095,빵
f68591fb-4964-4271-a55b-8040c17c1095,시장
07eba21b-428d-4251-8c10-d93c2edcbf69,노점
07eba21b-428d-4251-8c10-d93c2edcbf69,분식
07eba21b-428d-4251-8c10-d93c2edcbf69,튀김
07eba21b-428d-4251-8c10-d93c2edcbf69,주방도구
07eba21b-428d-4251-8c10-d93c2edcbf69,붕어빵
07eba21b-428d-4251-8c10-d93c2edcbf69,빵
07eba21b-428d-4251-8c10-d93c2edcbf69,뻥튀기
07eba21b-428d-4251-8c10-d93c2edcbf69,시장
54f17b40-980f-4554-9863-218913d2a2de,노점
54f17b40-980f-4554-9863-218913d2a2de,주방도구
